N,P,K,temperature,humidity,ph,rainfall,label
89,19,53,28.660593,93.080554,6.474326,23.916665,muskmelon
92,12,52,25.624519,88.434278,6.761743,40.582972,watermelon
35,68,47,35.872524,94.928168,6.941198,240.878425,papaya
56,46,45,25.717463,91.258322,6.714775,142.362499,papaya
17,138,203,23.780759,93.042523,5.754627,123.103699,apple
20,33,27,30.244382,48.342153,4.564356,75.231436,mango
27,137,198,21.299002,94.173992,6.261805,108.227397,apple
0,53,22,28.981516,64.752721,5.496028,36.998593,mothbeans
27,58,25,30.600787,82.872212,7.319629,41.230523,mungbean
16,72,22,25.544808,62.661014,6.039006,55.944837,lentil
38,65,24,27.439953,69.667342,7.437207,71.190791,blackgram
38,20,32,28.809849,92.628143,5.54523,140.168547,coconut
36,10,38,21.58462,94.406902,6.047781,103.52231,pomegranate
72,49,37,26.267934,72.210027,7.24417,180.13649,jute
25,15,32,29.975264,99.37817,5.504282,219.689489,coconut
38,9,38,19.28669,90.769361,6.154841,103.561939,pomegranate
17,125,204,20.792417,90.129036,5.52028,115.557884,apple
65,52,17,19.604198,64.831891,5.596313,89.09857,maize
62,59,51,42.541803,92.141714,6.665697,245.220729,papaya
90,16,54,27.707061,94.541293,6.309482,29.764132,muskmelon
111,19,26,26.746452,56.103167,7.427249,185.715899,coffee
65,66,47,36.110098,90.363412,6.918355,76.654636,papaya
9,7,11,28.911942,90.552896,7.676676,111.11018,orange
57,69,50,42.190111,94.839061,6.923579,105.049298,papaya
40,58,78,18.817509,19.066142,5.745206,79.647234,chickpea
79,54,44,26.856583,76.491038,7.198057,160.53228,jute
26,55,15,29.49065,86.893104,6.378468,47.694273,mungbean
24,25,13,16.562111,91.226552,7.931583,100.164725,orange
40,63,22,33.326636,64.320931,7.492885,116.564613,pigeonpeas
95,50,35,20.710301,83.317509,5.010123,216.080805,rice
31,12,40,23.445366,88.823633,6.443127,103.761905,pomegranate
11,47,16,27.676672,47.661587,8.76324,22.848936,mothbeans
74,43,45,25.087332,72.813908,6.329512,174.097214,jute
11,58,21,19.456463,69.859342,6.780682,53.658349,lentil
62,36,39,23.252301,85.782879,6.794345,151.451939,jute
45,57,16,25.49309,62.574792,6.203492,71.501201,blackgram
82,39,41,25.594888,77.803919,6.747817,193.782669,jute
24,70,77,19.569302,14.389122,6.949959,81.844538,chickpea
30,76,75,20.607048,16.768865,7.093004,84.780618,chickpea
34,66,20,23.216369,21.214856,5.678899,104.47912,kidneybeans
64,50,46,38.515376,91.057643,6.696718,53.468403,papaya
18,17,33,28.259406,54.030975,6.660577,78.937483,mango
58,68,20,27.786943,69.588719,6.214221,79.495739,blackgram
91,38,19,22.330133,74.25984,6.012808,91.631095,maize
2,59,22,30.15688,82.705593,6.373188,63.551455,mungbean
61,37,17,19.061726,66.350817,6.534197,100.029335,maize
17,56,16,32.545388,30.000465,5.749697,147.47612,pigeonpeas
12,29,33,28.299621,95.176481,5.667368,228.0611,coconut
89,12,48,27.80011,94.834925,6.160074,27.873258,muskmelon
89,53,18,23.551588,65.854489,5.877699,77.2848,maize
28,75,22,25.637946,63.872231,6.424148,72.612261,blackgram
114,37,30,25.571036,66.716127,7.107839,163.25745,coffee
23,122,204,22.301673,83.650337,6.280522,72.554373,grapes
1,59,16,31.071934,82.803348,6.198269,50.996391,mungbean
117,38,35,23.626894,53.211156,7.015105,177.071724,coffee
22,76,18,23.770906,24.608295,5.574398,101.640804,kidneybeans
129,40,16,23.107607,77.488984,5.851816,69.637716,cotton
0,138,198,23.14661,91.694681,6.319334,103.267456,apple
98,71,50,26.69277,79.734349,6.11317,116.064033,banana
27,64,19,25.573918,65.833072,7.326515,68.793573,blackgram
85,6,51,25.596354,82.663776,6.899453,49.273664,watermelon
11,20,28,25.277454,90.025275,5.601151,211.302563,coconut
4,58,19,27.546941,61.413836,6.13032,62.520013,lentil
11,19,13,33.200219,91.305636,6.669714,109.285328,orange
